0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/css&jsADMIN/assets/dropdown/js/script.min.js HTTP/1.1" 200 9653
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/css&jsADMIN/assets/touch-swipe/jquery.touch-swipe.min.js HTTP/1.1" 200 20412
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/css&jsADMIN/assets/smooth-scroll/smooth-scroll.js HTTP/1.1" 200 21418
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/css&jsADMIN/assets/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 44826
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/css&jsADMIN/assets/viewport-checker/jquery.viewportchecker.js HTTP/1.1" 200 7613
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/css&jsADMIN/assets/images/2_fi_leadimage2_0BW.jpg HTTP/1.1" 200 57445
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/img/lumos2.png HTTP/1.1" 200 26144
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/css&jsADMIN/assets/theme/js/script.js HTTP/1.1" 200 20144
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/css&jsADMIN/assets/jarallax/jarallax.js HTTP/1.1" 200 25399
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/assets/images/logo.png HTTP/1.1" 404 1100
